Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-07-14 00:00:00+00:00,119066.34375,119130.3046875,119000.6171875,119118.796875,1236520960
2025-07-14 00:15:00+00:00,119324.265625,119457.859375,119076.2890625,119097.671875,89219072
2025-07-14 00:30:00+00:00,119437.0390625,119437.0390625,119103.5078125,119254.453125,2297139200
2025-07-14 00:45:00+00:00,119118.90625,119420.625,119118.90625,119420.625,73637888
2025-07-14 01:00:00+00:00,119013.34375,119179.78125,119011.7265625,119117.421875,1166901248
2025-07-14 01:15:00+00:00,118975.0859375,119053.1328125,118975.0859375,119012.8671875,1496834048
2025-07-14 01:30:00+00:00,119224.375,119224.375,118961.7734375,118978.9453125,1308495872
2025-07-14 01:45:00+00:00,119135.0390625,119201.8984375,119049.21875,119201.8984375,94846976
2025-07-14 02:00:00+00:00,119193.078125,119193.078125,119024.8515625,119132.5,59760640
2025-07-14 02:15:00+00:00,119892.4375,119892.65625,119144.78125,119192.09375,63631360
2025-07-14 02:30:00+00:00,119777.9453125,119914.9921875,119698.875,119871.5,5377896448
2025-07-14 02:45:00+00:00,119702.203125,119831.1640625,119546.421875,119760.8359375,398618624
2025-07-14 03:00:00+00:00,119912.7890625,119912.7890625,119646.640625,119701.515625,1761669120
2025-07-14 03:15:00+00:00,119925.109375,119925.109375,119827.5078125,119901.8671875,359833600
2025-07-14 03:30:00+00:00,121178.9765625,121178.9765625,119885.7265625,119970.234375,114421760
2025-07-14 03:45:00+00:00,120785.5703125,121046.8125,120745.75,121046.8125,7485386752
2025-07-14 04:00:00+00:00,120764.890625,120771.765625,120645.8828125,120771.765625,782503936
2025-07-14 04:15:00+00:00,121014.375,121052.1171875,120790.671875,120790.671875,1776816128
2025-07-14 04:30:00+00:00,121241.0625,121241.0625,120916.265625,120987.7578125,326217728
2025-07-14 04:45:00+00:00,121369.859375,121373.2734375,121221.34375,121221.34375,1639972864
2025-07-14 05:00:00+00:00,121434.171875,121434.171875,121213.7578125,121419.8046875,1328721920
2025-07-14 05:15:00+00:00,122374.6640625,122490.2265625,121409.578125,121446.4765625,1454317568
2025-07-14 05:30:00+00:00,122253.421875,122433.578125,122195.484375,122355.75,34547404800
2025-07-14 05:45:00+00:00,122454.9453125,122484.046875,121968.875,122275.9296875,958955520
2025-07-14 06:00:00+00:00,122090.640625,122481.4453125,122076.796875,122481.4453125,3262955520
2025-07-14 06:15:00+00:00,122409.3515625,122433.6015625,122144.109375,122144.109375,962240512
